Serovar	Group	O Antigen	Serogroup	H Phase 1	H Phase 2	Serogroup Formula	Antigenic Formula	Subspecies
Abortusequi	O:4 (B)	4,12	B	-	e,n,x	B:-:e,n,x	4,12:-:e,n,x	I
Cotia	O:18 (K)	18	K	-	1,6	K:-:1,6	18:-:1,6	I
Gallinarum	O:9 (D1)	1,9,12	D	-	-	D:-:-	1,9,12:-:-	I
II 6,7:-:1,6	O:7 (C1)	6,7	C1	-	1,6	C1:-:1,6	6,7:-:1,6	II
II 11:-:1,5	O:11 (F)	11	F	-	1,5	F:-:1,5	11:-:1,5	II
II 1,13,23:-:1,[5],7	O:13 (G)	1,13,23	G	-	1,[5],7	G:-:1,[5],7	1,13,23:-:1,[5],7	II
II 13,23:-:1,6	O:13 (G)	13,23	G	-	1,6	G:-:1,6	13,23:-:1,6	II
II 51:-:1,7	O:51	51	O-51	-	1,7	O-51:-:1,7	51:-:1,7	II
II 65:-:1,6	O:65	65	O-65	-	1,6	O-65:-:1,6	65:-:1,6	II
II 39:-:1,7	O:39 (Q)	39	Q	-	1,7	Q:-:1,7	39:-:1,7	II
II 1,40:-:1,(5),7	O:40 (R) 	1,40	R	-	1,(5),7	R:-:1,(5),7	1,40:-:1,(5),7	II
II 1,40:-:1,(5),7	O:40 (R) 	1,40	R	-	1,(5),7	R:-:1,(5),7	1,40:-:1,(5),7	II
II 41:-:1,6	O:41 (S)	41	S	-	1,6	S:-:1,6	41:-:1,6	II
II 47:-:-	O:47 (X)	47	X	-	-	X:-:-	47:-:-	II
II 47:-:e,n,x	O:47 (X)	47	X	-	e,n,x	X:-:e,n,x	47:-:e,n,x	II
Leda	O:53	53	O-53	-	1,6	O-53:-:1,6	53:-:1,6	I
II 6,7:(g),m,[s],t:1,5	O:7 (C1)	6,7	C1	(g),m,[s],t	1,5	C1:(g),m,[s],t:1,5	6,7:(g),m,[s],t:1,5	II
II 6,7:(g),m,[s],t:1,5	O:7 (C1)	6,7	C1	(g),m,[s],t	1,5	C1:,m,t:1,5	6,7:(g),m,[s],t:1,5	II
Berta	O:9 (D1)	1,9,12	D	[f],g,[t]	-	D:[f],g,[t]:-	1,9,12:[f],g,[t]:-	I
Berta	O:9 (D1)	1,9,12	D	g,t	-	D:f,g:-	1,9,12:[f],g,[t]:-	I
Berta	O:9 (D1)	1,9,12	D	f,g	-	D:g,t:-	1,9,12:[f],g,[t]:-	I
Berta	O:9 (D1)	1,9,12	D	f,g,t	-	D:g,t:-	1,9,12:[f],g,[t]:-	I
II 39:[g],m,t:-	O:39 (Q)	39	Q	[g],m,t	-	Q:[g],m,t:-	39:[g],m,t:-	II
II 39:[g],m,t:e,n,x	O:39 (Q)	39	Q	[g],m,t	e,n,x	Q:[g],m,t:e,n,x	39:[g],m,t:e,n,x	II
II 1,13,23:[z42]:1,[5],7	O:13 (G)	1,13,23	G	[z42]	1,[5],7	G:z42:1,[5],7	1,13,23:[z42]:1,[5],7	II
Alkmaar	O:1,3,19 (E4)	1,3,19	E	a	l,w	E:a:l,w	1,3,19:a:l,w	I
Aminatu	O:3,10 (E1)	3,10	E	a	1,2	E:a:1,2	3,10:a:1,2	I
Amunigun	O:16 (l)	16	I	a	1,6	I:a:1,6	16:a:1,6	I
Antonio	O:57	57	O-57	a	z6	O-57:a:z6	57:a:z6	I
Arechavaleta	O:4 (B)	4,[5],12	B	a	1,7	B:a:1,7	4,[5],12:a:1,7	I
Assen	O:21 (L)	21	L	a	-	L:a:-	21:a:-	I
Assen	O:21 (L)	21	L	a	1,5	L:a:1,5	21:a:1,5	I
Austin	O:7 (C1)	6,7	C1	a	1,7	C1:a:1,7	6,7:a:1,7	I
Baildon	O:9,46 (D2)	9,46	D	a	e,n,x	D:a:e,n,x	9,46:a:e,n,x	I
Bakau	O:28 (M)	28	M	a	1,7	M:a:1,7	28:a:1,7	I
Banjul	O:6,14 (H)	1,6,14,25	H	a	e,n,z15	H:a:e,n,z15	1,6,14,25:a:e,n,z15	I
Be	O:8 (C2-C3)	8,20	C2-C3	a	-	C2-C3:a:-	8,20:a:-	I
Be	O:8 (C2-C3)	8,20	C2-C3	a	z6	C2-C3:a:z6	8,20:a:z6	I
Berkeley	O:43 (U)	43	U	a	1,5	U:a:1,5	43:a:1,5	I
Bispebjerg	O:4 (B)	1,4,[5],12	B	a	e,n,x	B:a:e,n,x	1,4,[5],12:a:e,n,x	I
Bonames	O:17 (J)	17	J	a	1,2	J:a:1,2	17:a:1,2	I
Brazil	O:16 (l)	16	I	a	1,5	I:a:1,5	16:a:1,5	I
Brazos	O:18 (K)	6,14,18	K	a	e,n,z15	K:a:e,n,z15	6,14,18:a:e,n,z15	I
Burundi	O:41 (S)	41	S	a	-	S:a:-	41:a:-	I
Chagoua	O:13 (G)	1,13,23	G	a	1,5	G:a:1,5	1,13,23:a:1,5	I
Coleypark	O:7 (C1)	6,7,14	C1	a	l,w	C1:a:l,w	6,7,14:a:l,w	I
Curacao	O:8 (C2-C3)	6,8	C2-C3	a	1,6	C2-C3:a:1,6	6,8:a:1,6	I
Dakar	O:28 (M)	28	M	a	1,6	M:a:1,6	28:a:1,6	I
Damman	O:7 (C1)	6,7,14	C1	a	z6	C1:a:z6	6,7,14:a:z6	I
Denver	O:7 (C1)	6,7	C1	a	e,n,z15	C1:a:e,n,z15	6,7:a:e,n,z15	I
Detmold	O:9,46 (D2)	9,46	D	a	1,2	D:a:1,2	9,46:a:1,2	I
Dibra	O:28 (M)	28	M	a	z6	M:a:z6	28:a:z6	I
Doba	O:9,46 (D2)	9,46	D	a	e,n,z15	D:a:e,n,z15	9,46:a:e,n,z15	I
Doncaster	O:8 (C2-C3)	6,8	C2-C3	a	1,5	C2-C3:a:1,5	6,8:a:1,5	I
Doulassame	O:30 (N)	30	N	a	e,n,z15	N:a:e,n,z15	30:a:e,n,z15	I
Durban	O:9 (D1)	1,9,12	D	a	e,n,z15	D:a:e,n,z15	1,9,12:a:e,n,z15	I
Epinay	O:11 (F)	11	F	a	l,z13,z28	F:a:l,z13,z28	11:a:l,z13,z28	I
Faji	O:42 (T)	1,42	T	a	e,n,z15	T:a:e,n,z15	1,42:a:e,n,z15	I
Fischerhuette	O:16 (l)	16	I	a	e,n,z15	I:a:e,n,z15	16:a:e,n,z15	I
Fulica	O:4 (B)	4,[5],12	B	a	-	B:a:-	4,[5],12:a:-	I
Fulica	O:4 (B)	4,[5],12	B	a	1,5	B:a:1,5	4,[5],12:a:1,5	I
Galil	O:3,10 (E1)	3,10	E	a	e,n,z15	E:a:e,n,z15	3,10:a:e,n,z15	I
Gallen	O:11 (F)	11	F	a	1,2	F:a:1,2	11:a:1,2	I
Garba	O:6,14 (H)	1,6,14,25	H	a	1,5	H:a:1,5	1,6,14,25:a:1,5	I
Goelzau	O:3,10 (E1)	3,{10}{15}	E	a	1,5	E:a:1,5	3,{10}{15}:a:1,5	I
Graz	O:43 (U)	43	U	a	1,2	U:a:1,2	43:a:1,2	I
Greiz	O:40 (R) 	40	R	a	z6	R:a:z6	40:a:z6	I
Guarapiranga	O:30 (N)	30	N	a	e,n,x	N:a:e,n,x	30:a:e,n,x	I
Gwoza	O:1,3,19 (E4)	1,3,19	E	a	e,n,z15	E:a:e,n,z15	1,3,19:a:e,n,z15	I
Hannover	O:16 (l)	16	I	a	1,2	I:a:1,2	16:a:1,2	I
Heron	O:16 (l)	16	I	a	z6	I:a:z6	16:a:z6	I
Hessarek	O:4 (B)	4,12,[27]	B	a	1,5	B:a:1,5	4,12,[27]:a:1,5	I
Hisingen	O:48 (Y)1	48	Y	a	1,5,7	Y:a:1,5,7	48:a:1,5,7	I
Honelis	O:28 (M)	28	M	a	e,n,z15	M:a:e,n,z15	28:a:e,n,z15	I
Huettwilen	O:4 (B)	1,4,12	B	a	l,w	B:a:l,w	1,4,12:a:l,w	I
II 1,4,[5],12,[27]:a:e,n,x	O:4 (B)	1,4,[5],12,[27]	B	a	e,n,x	B:a:e,n,x	1,4,[5],12,[27]:a:e,n,x	II
II 1,4,12,[27]:a:z39	O:4 (B)	1,4,12,[27]	B	a	z39	B:a:z39	1,4,12,[27]:a:z39	II
II 6,7,14:a:1,5	O:7 (C1)	6,7,14	C1	a	1,5	C1:a:1,5	6,7,14:a:1,5	II
II 6,7:a:z42	O:7 (C1)	6,7	C1	a	z42	C1:a:z42	6,7:a:z42	II
II 6,7:a:z6	O:7 (C1)	6,7	C1	a	z6	C1:a:z6	6,7:a:z6	II
II 6,8:a:e,n,x	O:8 (C2-C3)	6,8	C2-C3	a	e,n,x	C2-C3:a:e,n,x	6,8:a:e,n,x	II
II 6,8:a:z39	O:8 (C2-C3)	6,8	C2-C3	a	z39	C2-C3:a:z39	6,8:a:z39	II
II 6,8:a:z52	O:8 (C2-C3)	6,8	C2-C3	a	z52	C2-C3:a:z52	6,8:a:z52	II
II 9,12:a:1,5	O:9 (D1)	9,12	D	a	1,5	D:a:1,5	9,12:a:1,5	II
II 1,9,12:a:e,n,x	O:9 (D1)	1,9,12	D	a	e,n,x	D:a:e,n,x	1,9,12:a:e,n,x	II
II 9,12:a:z39	O:9 (D1)	9,12	D	a	z39	D:a:z39	9,12:a:z39	II
II 1,9,12:a:z42	O:9 (D1)	1,9,12	D	a	z42	D:a:z42	1,9,12:a:z42	II
II 1,9,12,46,27:a:z6	O:9,46,27 (D3)	1,9,12,46,27	D	a	z6	D:a:z6	1,9,12,46,27:a:z6	II
II 3,10:a:e,n,x	O:3,10 (E1)	3,10	E	a	e,n,x	E:a:e,n,x	3,10:a:e,n,x	II
II 3,10:a:l,v	O:3,10 (E1)	3,10	E	a	l,v	E:a:l,v	3,10:a:l,v	II
II 3,10:a:z39	O:3,10 (E1)	3,10	E	a	z39	E:a:z39	3,10:a:z39	II
II 11:a:e,n,z15	O:11 (F)	11	F	a	e,n,z15	F:a:e,n,z15	11:a:e,n,z15	II
II 11:a:z6	O:11 (F)	11	F	a	z6	F:a:z6	11:a:z6	II
II 1,13,23:a:1,5	O:13 (G)	1,13,23	G	a	1,5	G:a:1,5	1,13,23:a:1,5	II
II 13,22:a:e,n,x	O:13 (G)	13,22	G	a	e,n,x	G:a:e,n,x	13,22:a:e,n,x	II
II 1,13,23:a:z42	O:13 (G)	1,13,23	G	a	z42	G:a:z42	1,13,23:a:z42	II
II 28:a:e,n,x	O:28 (M)	28	M	a	e,n,x	M:a:e,n,x	28:a:e,n,x	II
II 30:a:z39	O:30 (N)	30	N	a	z39	N:a:z39	30:a:z39	II
II 57:a:z42	O:57	57	O-57	a	z42	O-57:a:z42	57:a:z42	II
II 58:a:z6	O:58	58	O-58	a	z6	O-58:a:z6	58:a:z6	II
II 39:a:z39	O:39 (Q)	39	Q	a	z39	Q:a:z39	39:a:z39	II
II 40:a:z39	O:40 (R) 	40	R	a	z39	R:a:z39	40:a:z39	II
II 43:a:1,5	O:43 (U)	43	U	a	1,5	U:a:1,5	43:a:1,5	II
II 43:a:z6	O:43 (U)	43	U	a	z6	U:a:z6	43:a:z6	II
II 45:a:z10	O:45 (W)	45	W	a	z10	W:a:z10	45:a:z10	II
II 47:a:1,5	O:47 (X)	47	X	a	1,5	X:a:1,5	47:a:1,5	II
II 47:a:e,n,x,z15	O:47 (X)	47	X	a	e,n,x,z15	X:a:e,n,x,z15	47:a:e,n,x,z15	II
II 48:a:z39	O:48 (Y)1	48	Y	a	z39	Y:a:z39	48:a:z39	II
II 48:a:z6	O:48 (Y)1	48	Y	a	z6	Y:a:z6	48:a:z6	II
IV 51:a:-	O:51	51	O-51	a	-	O-51:a:-	51:a:-	IV
IV 44:a:-	O:44 (V)	44	V	a	-	V:a:-	44:a:-	IV
IV 50:a:-	O:50 (Z)	50	Z	a	-	Z:a:-	50:a:-	IV
Jangwani	O:17 (J)	17	J	a	1,5	J:a:1,5	17:a:1,5	I
Juba	O:1,3,19 (E4)	1,3,19	E	a	1,7	E:a:1,7	1,3,19:a:1,7	I
Kinondoni	O:17 (J)	17	J	a	e,n,x	J:a:e,n,x	17:a:e,n,x	I
Kisangani	O:4 (B)	1,4,[5],12	B	a	1,2	B:a:1,2	1,4,[5],12:a:1,2	I
Leith	O:8 (C2-C3)	6,8	C2-C3	a	e,n,z15	C2-C3:a:e,n,z15	6,8:a:e,n,z15	I
Lomalinda	O:9 (D1)	1,9,12	D	a	e,n,x	D:a:e,n,x	1,9,12:a:e,n,x	I
Luciana	O:11 (F)	11	F	a	e,n,z15	F:a:e,n,z15	11:a:e,n,z15	I
Marseille	O:11 (F)	11	F	a	1,5	F:a:1,5	11:a:1,5	I
Marshall	O:13 (G)	13,22	G	a	l,z13,z28	G:a:l,z13,z28	13,22:a:l,z13,z28	I
Masembe	O:3,10 (E1)	3,10	E	a	e,n,x	E:a:e,n,x	3,10:a:e,n,x	I
Massilia	O:11 (F)	11	F	a	1,6	F:a:1,6	11:a:1,6	I
Meekatharra	O:45 (W)	45	W	a	e,n,z15	W:a:e,n,z15	45:a:e,n,z15	I
Miami	O:9 (D1)	1,9,12	D	a	1,5	D:a:1,5	1,9,12:a:1,5	I
Mim	O:13 (G)	13,22	G	a	1,6	G:a:1,6	13,22:a:1,6	I
Nakuru	O:4 (B)	1,4,12,27	B	a	z6	B:a:z6	1,4,12,27:a:z6	I
Narashino	O:8 (C2-C3)	6,8	C2-C3	a	e,n,x	C2-C3:a:e,n,x	6,8:a:e,n,x	I
Niakhar	O:44 (V)	44	V	a	1,5	V:a:1,5	44:a:1,5	I
Niarembe	O:44 (V)	44	V	a	l,w	V:a:l,w	44:a:l,w	I
Niumi	O:1,3,19 (E4)	1,3,19	E	a	1,5	E:a:1,5	1,3,19:a:1,5	I
Nordufer	O:8 (C2-C3)	6,8	C2-C3	a	1,7	C2-C3:a:1,7	6,8:a:1,7	I
Nyeko	O:16 (l)	16	I	a	1,7	I:a:1,7	16:a:1,7	I
Oran	O:38 (P)	38	P	a	e,n,z15	P:a:e,n,z15	38:a:e,n,z15	I
Ord	O:52	52	O-52	a	e,n,z15	O-52:a:e,n,z15	52:a:e,n,z15	I
Os	O:9 (D1)	9,12	D	a	1,6	D:a:1,6	9,12:a:1,6	I
Oslo	O:7 (C1)	6,7,14	C1	a	e,n,x	C1:a:e,n,x	6,7,14:a:e,n,x	I
Overvecht	O:30 (N)	30	N	a	1,2	N:a:1,2	30:a:1,2	I
Oxford	O:3,10 (E1)	3,{10}{15}{15,34}	E	a	1,7	E:a:1,7	3,{10}{15}{15,34}:a:1,7	I
Paratyphi A	O:2 (A)	1,2,12	A	a	-	A:a:-	1,2,12:a:-	I
Paratyphi A	O:2 (A)	1,2,12	A	a	1,5	A:a:1,5	1,2,12:a:1,5	I
Saarbruecken	O:9 (D1)	1,9,12	D	a	1,7	D:a:1,7	1,9,12:a:1,7	I
Salinas	O:40 (R) 	40	R	a	1,7	R:a:1,7	40:a:1,7	I
Sanjuan	O:7 (C1)	6,7	C1	a	1,5	C1:a:1,5	6,7:a:1,5	I
Seattle	O:28 (M)	28	M	a	e,n,x	M:a:e,n,x	28:a:e,n,x	I
Sendai	O:9 (D1)	1,9,12	D	a	1,5	D:a:1,5	1,9,12:a:1,5	I
Shikmonah	O:40 (R) 	40	R	a	1,5	R:a:1,5	40:a:1,5	I
Solna	O:28 (M)	28	M	a	1,5	M:a:1,5	28:a:1,5	I
Tiergarten	O:44 (V)	44	V	a	e,n,x	V:a:e,n,x	44:a:e,n,x	I
Tinda	O:4 (B)	1,4,12,27	B	a	e,n,z15	B:a:e,n,z15	1,4,12,27:a:e,n,z15	I
Tione	O:51	51	O-51	a	e,n,x	O-51:a:e,n,x	51:a:e,n,x	I
Togba	O:16 (l)	16	I	a	e,n,x	I:a:e,n,x	16:a:e,n,x	I
Toowong	O:11 (F)	11	F	a	1,7	F:a:1,7	11:a:1,7	I
Uithof	O:52	52	O-52	a	1,5	O-52:a:1,5	52:a:1,5	I
Umhlali	O:7 (C1)	6,7	C1	a	1,6	C1:a:1,6	6,7:a:1,6	I
Umhlatazana	O:35 (O)	35	O	a	e,n,z15	O:a:e,n,z15	35:a:e,n,z15	I
Valdosta	O:8 (C2-C3)	6,8	C2-C3	a	1,2	C2-C3:a:1,2	6,8:a:1,2	I
VI 11:a:1,5	O:11 (F)	11	F	a	1,5	F:a:1,5	11:a:1,5	VI
VI [1],6,14:a:1,5	O:6,14 (H)	[1],6,14	H	a	1,5	H:a:1,5	[1],6,14:a:1,5	VI
VI [1],6,14,[25]:a:e,n,x	O:6,14 (H)	[1],6,14,[25]	H	a	e,n,x	H:a:e,n,x	[1],6,14,[25]:a:e,n,x	VI
VI 45:a:e,n,x	O:45 (W)	45	W	a	e,n,x	W:a:e,n,x	45:a:e,n,x	VI
Windsheim	O:51	51	O-51	a	1,2	O-51:a:1,2	51:a:1,2	I
Wyldegreen	O:13 (G)	1,13,23	G	a	l,w	G:a:l,w	1,13,23:a:l,w	I
Zehlendorf	O:30 (N)	30	N	a	1,5	N:a:1,5	30:a:1,5	I
Abidjan	O:39 (Q)	39	Q	b	l,w	Q:b:l,w	39:b:l,w	I
Abony	O:4 (B)	1,4,[5],12,[27]	B	b	e,n,x	B:b:e,n,x	1,4,[5],12,[27]:b:e,n,x	I
Accra	O:1,3,19 (E4)	1,3,19	E	b	z6	E:b:z6	1,3,19:b:z6	I
Adime	O:7 (C1)	6,7	C1	b	1,6	C1:b:1,6	6,7:b:1,6	I
Allerton	O:3,10 (E1)	3,10	E	b	1,6	E:b:1,6	3,10:b:1,6	I
Aschersleben	O:30 (N)	30	N	b	1,5	N:b:1,5	30:b:1,5	I
Ashanti	O:28 (M)	28	M	b	1,6	M:b:1,6	28:b:1,6	I
Atento	O:11 (F)	11	F	b	1,2	F:b:1,2	11:b:1,2	I
Bahati	O:13 (G)	13,22	G	b	e,n,z15	G:b:e,n,z15	13,22:b:e,n,z15	I
Bamboye	O:9,46 (D2)	9,46	D	b	l,w	D:b:l,w	9,46:b:l,w	I
Banalia	O:8 (C2-C3)	6,8	C2-C3	b	z6	C2-C3:b:z6	6,8:b:z6	I
Bata	O:9 (D1)	9,12	D	b	1,7	D:b:1,7	9,12:b:1,7	I
Batonrouge	O:57	57	O-57	b	e,n,z15	O-57:b:e,n,z15	57:b:e,n,z15	I
Benfica	O:3,10 (E1)	3,10	E	b	e,n,x	E:b:e,n,x	3,10:b:e,n,x	I
Benguella	O:40 (R) 	40	R	b	z6	R:b:z6	40:b:z6	I
Bignona	O:17 (J)	17	J	b	e,n,z15	J:b:e,n,z15	17:b:e,n,z15	I
Bokanjac	O:28 (M)	28	M	b	1,7	M:b:1,7	28:b:1,7	I
Bracknell	O:13 (G)	13,23	G	b	1,6	G:b:1,6	13,23:b:1,6	I
Brazzaville	O:7 (C1)	6,7	C1	b	1,2	C1:b:1,2	6,7:b:1,2	I
Broughton	O:1,3,19 (E4)	1,3,19	E	b	l,w	E:b:l,w	1,3,19:b:l,w	I
Bukuru	O:8 (C2-C3)	6,8	C2-C3	b	l,w	C2-C3:b:l,w	6,8:b:l,w	I
Butantan	O:3,10 (E1)	3,{10}{15}{15,34}	E	b	1,5	E:b:1,5	3,{10}{15}{15,34}:b:1,5	I
Canada	O:4 (B)	4,12,[27]	B	b	1,6	B:b:1,6	4,12,[27]:b:1,6	I
Cheltenham	O:9,46 (D2)	9,46	D	b	1,5	D:b:1,5	9,46:b:1,5	I
Chittagong	O:1,3,19 (E4)	1,3,10,19	E	b	z35	E:b:z35	1,3,10,19:b:z35	I
Cochise	O:18 (K)	18	K	b	1,7	K:b:1,7	18:b:1,7	I
Dahra	O:17 (J)	17	J	b	1,5	J:b:1,5	17:b:1,5	I
Djelfa	O:8 (C2-C3)	8	C2-C3	b	1,2	C2-C3:b:1,2	8:b:1,2	I
Durham	O:13 (G)	13,23	G	b	e,n,z15	G:b:e,n,z15	13,23:b:e,n,z15	I
Duval	O:40 (R) 	1,40	R	b	e,n,z15	R:b:e,n,z15	1,40:b:e,n,z15	I
Eboko	O:8 (C2-C3)	6,8	C2-C3	b	1,7	C2-C3:b:1,7	6,8:b:1,7	I
Ede	O:43 (U)	43	U	b	e,n,z15	U:b:e,n,z15	43:b:e,n,z15	I
Edinburg	O:7 (C1)	6,7,14	C1	b	1,5	C1:b:1,5	6,7,14:b:1,5	I
Egusitoo	O:42 (T)	1,42	T	b	z6	T:b:z6	1,42:b:z6	I
Elbeuf	O:44 (V)	44	V	b	e,n,x	V:b:e,n,x	44:b:e,n,x	I
Epicrates	O:3,10 (E1)	3,10	E	b	l,w	E:b:l,w	3,10:b:l,w	I
Erfurt	O:11 (F)	11	F	b	z6	F:b:z6	11:b:z6	I
Flottbek	O:52	52	O-52	b	e,n,x	O-52:b:e,n,x	52:b:e,n,x	I
Fluntern	O:18 (K)	6,14,18	K	b	1,5	K:b:1,5	6,14,18:b:1,5	I
Fomeco	O:45 (W)	45	W	b	e,n,z15	W:b:e,n,z15	45:b:e,n,z15	I
Frederiksberg	O:42 (T)	1,42	T	b	l,w	T:b:l,w	1,42:b:l,w	I
Freefalls	O:28 (M)	28	M	b	l,w	M:b:l,w	28:b:l,w	I
Frintrop	O:9 (D1)	1,9,12	D	b	1,5	D:b:1,5	1,9,12:b:1,5	I
Gatuni	O:8 (C2-C3)	6,8	C2-C3	b	e,n,x	C2-C3:b:e,n,x	6,8:b:e,n,x	I
Georgia	O:7 (C1)	6,7	C1	b	e,n,z15	C1:b:e,n,z15	6,7:b:e,n,z15	I
Ghana	O:21 (L)	21	L	b	1,6	L:b:1,6	21:b:1,6	I
Glasgow	O:16 (l)	16	I	b	1,6	I:b:1,6	16:b:1,6	I
Gnesta	O:1,3,19 (E4)	1,3,19	E	b	1,5	E:b:1,5	1,3,19:b:1,5	I
Heistopdenberg	O:8 (C2-C3)	8,20	C2-C3	b	l,w	C2-C3:b:l,w	8,20:b:l,w	I
Hull	O:16 (l)	16	I	b	1,2	I:b:1,2	16:b:1,2	I
Huvudsta	O:3,10 (E1)	3,{10}{15,34}	E	b	1,7	E:b:1,7	3,{10}{15,34}:b:1,7	I
Hvittingfoss	O:16 (l)	16	I	b	e,n,x	I:b:e,n,x	16:b:e,n,x	I
I 4,5,12:b:-	O:4 (B)	4,5,12	B	b	-	B:b:-	4,5,12:b:-	I
Ibadan	O:13 (G)	13,22	G	b	1,5	G:b:1,5	13,22:b:1,5	I
II 4,12:b:1,5	O:4 (B)	4,12	B	b	1,5	B:b:1,5	4,12:b:1,5	II
II 6,7:b:-	O:7 (C1)	6,7	C1	b	-	C1:b:-	6,7:b:-	II
II 6,7:b:e,n,x	O:7 (C1)	6,7	C1	b	e,n,x	C1:b:e,n,x	6,7:b:e,n,x	II
II 6,7:b:z39	O:7 (C1)	6,7	C1	b	z39	C1:b:z39	6,7:b:z39	II
II 6,8:b:1,5	O:8 (C2-C3)	6,8	C2-C3	b	1,5	C2-C3:b:1,5	6,8:b:1,5	II
II 1,9,12:b:e,n,x	O:9 (D1)	1,9,12	D	b	e,n,x	D:b:e,n,x	1,9,12:b:e,n,x	II
II 9,46:b:e,n,x	O:9,46 (D2)	9,46	D	b	e,n,x	D:b:e,n,x	9,46:b:e,n,x	II
II 1,9,12:b:z39	O:9 (D1)	1,9,12	D	b	z39	D:b:z39	1,9,12:b:z39	II
II 1,9,12:b:z6	O:9 (D1)	1,9,12	D	b	z6	D:b:z6	1,9,12:b:z6	II
II 3,10:b:e,n,x	O:3,10 (E1)	3,10	E	b	e,n,x	E:b:e,n,x	3,10:b:e,n,x	II
II 3,10:b:z39	O:3,10 (E1)	3,10	E	b	z39	E:b:z39	3,10:b:z39	II
II 1,13,23:b:-	O:13 (G)	1,13,23	G	b	-	G:b:-	1,13,23:b:-	II
II 1,13,23:b:1,5	O:13 (G)	1,13,23	G	b	1,5	G:b:1,5	1,13,23:b:1,5	II
II 1,13,22:b:z42	O:13 (G)	1,13,22	G	b	z42	G:b:z42	1,13,22:b:z42	II
II 16:b:e,n,x	O:16 (l)	16	I	b	e,n,x	I:b:e,n,x	16:b:e,n,x	II
II 16:b:z39	O:16 (l)	16	I	b	z39	I:b:z39	16:b:z39	II
II 16:b:z42	O:16 (l)	16	I	b	z42	I:b:z42	16:b:z42	II
II 17:b:e,n,x,z15	O:17 (J)	17	J	b	e,n,x,z15	J:b:e,n,x,z15	17:b:e,n,x,z15	II
II 17:b:z6	O:17 (J)	17	J	b	z6	J:b:z6	17:b:z6	II
II 21:b:1,5	O:21 (L)	21	L	b	1,5	L:b:1,5	21:b:1,5	II
II 28:b:e,n,x	O:28 (M)	28	M	b	e,n,x	M:b:e,n,x	28:b:e,n,x	II
II 28:b:z6	O:28 (M)	28	M	b	z6	M:b:z6	28:b:z6	II
II 30:b:z6	O:30 (N)	30	N	b	z6	N:b:z6	30:b:z6	II
II 56:b:-	O:56	56	O-56	b	-	O-56:b:-	56:b:-	II
II 56:b:1,5	O:56	56	O-56	b	1,5	O-56:b:1,5	56:b:1,5	II
II 58:b:1,5	O:58	58	O-58	b	1,5	O-58:b:1,5	58:b:1,5	II
II 60:b:-	O:60	60	O-60	b	-	O-60:b:-	60:b:-	II
II 38:b:1,2	O:38 (P)	38	P	b	1,2	P:b:1,2	38:b:1,2	II
II 40:b:-	O:40 (R) 	40	R	b	-	R:b:-	40:b:-	II
II 41:b:1,5	O:41 (S)	41	S	b	1,5	S:b:1,5	41:b:1,5	II
II 42:b:1,5	O:42 (T)	42	T	b	1,5	T:b:1,5	42:b:1,5	II
II 42:b:e,n,x,z15	O:42 (T)	42	T	b	e,n,x,z15	T:b:e,n,x,z15	42:b:e,n,x,z15	II
II 42:b:z6	O:42 (T)	42	T	b	z6	T:b:z6	42:b:z6	II
II 43:b:z42	O:43 (U)	43	U	b	z42	U:b:z42	43:b:z42	II
II 47:b:1,5	O:47 (X)	47	X	b	1,5	X:b:1,5	47:b:1,5	II
II 47:b:e,n,x,z15	O:47 (X)	47	X	b	e,n,x,z15	X:b:e,n,x,z15	47:b:e,n,x,z15	II
II 47:b:z6	O:47 (X)	47	X	b	z6	X:b:z6	47:b:z6	II
II 48:b:e,n,x,z15	O:48 (Y)1	48	Y	b	e,n,x,z15	Y:b:e,n,x,z15	48:b:e,n,x,z15	II
II 48:b:z6	O:48 (Y)1	48	Y	b	z6	Y:b:z6	48:b:z6	II
II 50:b:z6	O:50 (Z)	50	Z	b	z6	Z:b:z6	50:b:z6	II
IIIb (6),14:b:e,n,x	O:6,14 (H)	(6),14	H	b	e,n,x	H:b:e,n,x	(6),14:b:e,n,x	IIIb
IV 51:b:-	O:51	51	O-51	b	-	O-51:b:-	51:b:-	IV
IV 50:b:-	O:50 (Z)	50	Z	b	-	Z:b:-	50:b:-	IV
Johannesburg	O:40 (R) 	1,40	R	b	e,n,x	R:b:e,n,x	1,40:b:e,n,x	I
Kalina	O:3,10 (E1)	3,10	E	b	1,2	E:b:1,2	3,10:b:1,2	I
Kande	O:1,3,19 (E4)	1,3,19	E	b	e,n,z15	E:b:e,n,z15	1,3,19:b:e,n,z15	I
Karaya	O:51	51	O-51	b	1,5	O-51:b:1,5	51:b:1,5	I
Kirkee	O:17 (J)	17	J	b	1,2	J:b:1,2	17:b:1,2	I
Kolar	O:9,46 (D2)	9,46	D	b	z35	D:b:z35	9,46:b:z35	I
Konstanz	O:8 (C2-C3)	8	C2-C3	b	e,n,x	C2-C3:b:e,n,x	8:b:e,n,x	I
Korbol	O:8 (C2-C3)	8,20	C2-C3	b	1,5	C2-C3:b:1,5	8,20:b:1,5	I
Kotte	O:7 (C1)	6,7	C1	b	z35	C1:b:z35	6,7:b:z35	I
Koumra	O:7 (C1)	6,7	C1	b	1,7	C1:b:1,7	6,7:b:1,7	I
Kuntair	O:6,14 (H)	1,6,14,25	H	b	1,5	H:b:1,5	1,6,14,25:b:1,5	I
